weight,humidity,temperature,prod_id
1030.871118,29.68788121,71.99580813,1
1044.961148,28.86245264,68.46866353,2
972.7104794,37.95158804,65.12134385,3
1010.182509,25.07638313,67.82133592,4
970.0392356,27.1378858,72.93179969,5
990.1543591,32.42242765,71.40620655,6
965.6602426,42.6036188,65.87615773,7
969.2212117,31.65507144,74.4300536,8
976.4955324,26.49972142,69.86612106,9
974.9935168,38.64405525,69.89170858,10
998.1414836,44.0528225,73.52900818,11
1026.722055,27.05422473,67.51719699,12
964.8622275,35.24875556,70.20534384,13
953.2369257,42.47834826,73.33227751,14
978.7542856,40.73891694,69.83206868,15
1013.376368,36.34760477,69.64302255,16
1008.536669,32.46785581,67.36113047,17
1033.369839,33.36686396,73.91271686,18
1025.092146,37.78648553,74.59392421,19
965.0428867,43.16108771,69.63378244,20
1041.588003,31.39195647,66.2634315,21
979.2780212,32.90602272,69.70454317,22
1046.771205,32.64767911,65.34857587,23
961.7567239,26.95419788,71.37318449,24
1022.028324,30.88477119,67.14091706,25
980.4723191,43.70383227,66.17598239,26
1045.726153,30.55823725,70.74182062,27
993.315433,32.04483396,66.73294334,28
975.4817747,39.86347876,72.20402272,29
1004.214089,44.21584764,74.55724051,30
1044.160653,44.05423888,72.01212071,31
971.9243934,38.840702,72.05796978,32
962.8479379,31.14731284,68.16858605,33
966.0809842,35.63519403,72.94379643,34
954.6836952,41.46788254,70.06726354,35
1036.738429,44.75027707,72.84537116,36
960.1181454,27.05248275,67.07086335,37
960.0397469,41.16503752,70.68548652,38
1031.102038,29.12549741,71.84801731,39
993.1592588,28.73412954,70.89537148,40
966.1696643,28.82969768,69.06759547,41
966.6476839,34.87678728,73.00640782,42
1022.2979,42.39372985,74.10591749,43
991.2164974,43.27548127,68.14929046,44
971.8694069,38.23055091,69.0005807,45
962.5697655,25.5397957,73.27978378,46
960.1690422,35.27678638,65.85386556,47
1032.534524,30.05443927,74.97405461,48
1028.984487,41.31969906,74.79997981,49
1047.722306,29.27797029,72.20576822,50
1046.761733,30.70601919,69.59560889,51
1002.032144,25.76874963,68.41613633,52
994.0796451,42.29944527,67.67909776,53
979.2689933,32.4818798,74.71881614,54
995.8513718,39.92532434,70.58499368,55
1024.648486,37.56774559,68.20340464,56
954.8014804,27.97560324,69.29676367,57
981.3427073,37.9671868,65.27423703,58
1047.431351,33.12306758,70.48626201,59
1049.643411,27.13504162,73.61946078,60
1049.832567,27.2884106,71.42982781,61
956.3057003,35.84676,68.71617926,62
957.1648038,31.36973975,74.13073593,63
1003.941976,42.28518184,70.53480239,64
1021.635533,40.07808678,66.82560724,65
974.1204834,30.53299493,69.85560473,66
1028.139107,27.67384193,70.04629325,67
983.9217665,39.95998001,65.34079417,68
958.2926772,42.71362508,68.57864044,69
989.4500979,37.97214836,73.96683293,70
1037.916248,40.62316165,71.02550473,71
1000.443894,44.2470689,67.36436265,72
1047.796234,26.4577858,70.22657572,73
972.2371487,37.68222821,71.73288849,74
977.4015694,33.71106287,71.93902547,75
1037.715073,31.93641684,72.84973641,76
1006.765054,35.47067945,65.58065637,77
1006.067168,40.96724817,73.40692656,78
973.1319763,44.27204337,68.28865211,79
969.2664437,26.65003127,72.82697553,80
968.4463916,32.36694559,69.88560892,81
986.7243141,32.50087145,67.33387501,82
1014.366624,44.59644007,66.23125266,83
998.1323845,31.78919084,67.56820727,84
1017.043206,28.57722464,73.25156606,85
1004.745711,33.92783455,69.14859715,86
1044.302344,31.71354304,65.51425414,87
992.5859467,35.84688109,74.5410048,88
982.3090452,26.55819364,69.62974225,89
1029.562028,27.06033074,70.17939242,90
1012.771603,38.42662207,66.24876035,91
1011.830021,35.37420275,70.47778531,92
1031.987247,29.19693452,74.05558286,93
989.5103312,38.12422831,73.64270519,94
974.4998003,31.56686316,70.46284002,95
984.168957,40.43082233,73.15712647,96
1017.636366,27.57755104,69.03462297,97
984.0446018,29.54375099,70.12260603,98
1014.460535,27.38424288,67.46988677,99
994.5592897,26.21856028,65.38239771,100
984.5781876,31.41155479,74.46203726,101
1025.909485,27.75608822,69.78840223,102
1041.647274,25.2594958,68.75231946,103
975.1342818,31.34550939,70.95076329,104
995.5441959,41.30652914,72.57263952,105
999.3867805,40.25227061,71.01898443,106
990.9107737,39.06068067,66.39545968,107
1042.06403,25.5821222,74.36167812,108
1041.706693,34.04357544,70.70815798,109
1028.976588,31.03336317,69.25440447,110
980.1343776,37.66185106,73.71978348,111
962.9384293,39.02356048,73.59039572,112
1039.880255,32.60727514,66.68080486,113
1002.12861,36.00458312,65.1030839,114
1041.219467,37.94949829,73.05099136,115
1030.806291,38.35214849,67.62207079,116
1041.765036,27.84762015,71.02215036,117
956.5907174,41.70301102,67.13945648,118
987.4569296,26.45284365,74.86299608,119
1013.115326,33.38462285,70.19286658,120
999.0475727,29.987163,72.90682431,121
959.5237788,25.76675238,71.84422522,122
950.6101878,34.64614592,68.34225696,123
966.1268747,44.20828728,70.60117392,124
956.6800626,36.0636791,68.97009023,125
996.4672532,28.84672612,65.42675142,126
950.0170066,32.97717704,68.50695731,127
1009.731163,39.85022186,73.70880221,128
1003.940491,36.53144854,68.07007642,129
954.3624437,33.10369835,70.43305302,130
968.1383026,35.50994869,70.42606946,131
1005.167908,38.6359106,66.10622287,132
988.5318879,38.87204806,69.63726191,133
1000.932685,39.85204294,72.14070263,134
1003.707414,25.8442228,74.45723735,135
1045.237459,29.20427368,72.02612391,136
